,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3415,"Friday, December 04, 2009",10.78359985,79.13360596,9103,223357.0187,,1,-1,,8631,,,11,223357.0187,,,,1,0,,,,
3416,"Tuesday, December 15, 2009",11.65212154,78.15797424,9114,81220.73407,,1,-1,,8649,,,4,81220.73407,,,,1,0,,,,
3417,"Wednesday, December 30, 2009",10.80082321,78.68991852,9129,60915.55055,,1,-1,,8701,,,3,60915.55055,,,,1,0,,,,
3418,"Friday, December 10, 2010",11.65859,78.12162,9474,81220734.07,,1,-1,,9249,,,4000,81220734.07,,,,21,6,0.0,0.0,,49.0
3419,"Tuesday, January 24, 2006",13.07209206,80.20185852,7693,40610.36703,,1,-1,,4000,,,2,40610.36703,,,,21,7,0.0,0.0,,43.0
3420,"Friday, January 27, 2006",10.95770645,78.27510834,7696,40610.36703,,1,-1,,4008,,,2,40610.36703,,,,23,8,0.0,0.0,,38.0
3421,"Friday, February 03, 2006",13.07209206,80.20185852,7703,40610.36703,,1,-1,,4040,,,2,40610.36703,,,,24,10,0.0,0.0,,33.0
3422,"Tuesday, February 07, 2006",9.767000198,78.73300171,7707,40610.36703,,1,-1,,4053,,,2,40610.36703,,,,1,0,,,,
3423,"Tuesday, February 14, 2006",11.03176,77.02951,7714,40610.36703,,1,-1,,4072,,,2,40610.36703,,,,1,0,,,,
3424,"Saturday, March 18, 2006",13.40869522,80.12478638,7746,40610.36703,,1,-1,,4206,,,2,40610.36703,,,,22,6,0.0,0.0,,23.0
3425,"Saturday, March 18, 2006",11.32048,77.72762,7746,40610.36703,,1,-1,,4208,,,2,40610.36703,,,,1,0,,,,
3426,"Tuesday, March 28, 2006",9.99262,77.44633,7756,40610.36703,,1,-1,,4252,,,2,40610.36703,,,,1,0,,,,
3427,"Tuesday, March 28, 2006",11.2341,78.8805,7756,40610.36703,,1,-1,,4256,,,2,40610.36703,,,,1,0,,,,
3428,"Sunday, April 02, 2006",11.1633749,79.68405151,7761,40610.36703,,1,-1,,4279,,,2,40610.36703,,,,1,0,,,,
3429,"Tuesday, April 25, 2006",10.77317619,79.84144592,7784,40610.36703,,1,-1,,4396,,,2,40610.36703,,,,1,0,,,,
3430,"Wednesday, May 10, 2006",11.32411,77.74176,7799,40610.36703,,1,-1,,4483,,,2,40610.36703,,,,1,0,,,,
3431,"Tuesday, May 16, 2006",10.77317619,79.84144592,7805,40610.36703,,1,-1,,4516,,,2,40610.36703,,,,1,0,,,,
3432,"Friday, May 19, 2006",11.1633749,79.68405151,7808,40610.36703,,1,-1,,4532,,,2,40610.36703,,,,1,0,,,,
3433,"Monday, May 22, 2006",11.5072794,77.24662018,7811,40610.36703,,1,-1,,4541,,,2,40610.36703,,,,29,9,0.0,0.0,,0.0
3434,"Saturday, June 10, 2006",11.16324997,79.75094604,7830,40610.36703,,1,-1,,4626,,,2,40610.36703,,,,1,0,,,,
3435,"Thursday, July 06, 2006",10.76563263,79.7361145,7856,40610.36703,,1,-1,,4711,,,2,40610.36703,,,,1,0,,,,
3436,"Friday, July 14, 2006",12.41011,79.89029,7864,40610.36703,,1,-1,,4732,,,2,40610.36703,,,,29,12,0.0,0.0,,10.0
3437,"Friday, July 14, 2006",11.2341,78.8805,7864,40610.36703,,1,-1,,4734,,,2,40610.36703,,,,1,0,,,,
3438,"Wednesday, August 02, 2006",12.22159,79.05553,7883,40610.36703,,1,-1,,4795,,,2,40610.36703,,,,36,17,0.0,0.0,,1.0
3439,"Tuesday, August 08, 2006",12.41011,79.89029,7889,40610.36703,,1,-1,,4814,,,2,40610.36703,,,,36,18,0.0,0.0,,26.0
3440,"Wednesday, August 16, 2006",12.61498547,79.75827789,7897,40610.36703,,1,-1,,4843,,,2,40610.36703,,,,38,19,0.0,0.0,,18.0
3441,"Saturday, August 19, 2006",12.23523808,79.07836914,7900,40610.36703,,1,-1,,4860,,,2,40610.36703,,,,1,0,,,,
3442,"Monday, August 28, 2006",10.93360043,78.42099762,7909,40610.36703,,1,-1,,4898,,,2,40610.36703,,,,40,19,0.0,0.0,,2.0
3443,"Saturday, October 21, 2006",10.93360043,78.42099762,7963,40610.36703,,1,-1,,5026,,,2,40610.36703,,,,1,0,,,,
3444,"Wednesday, April 25, 2007",11.21878529,78.16797638,8149,40610.36703,,1,-1,,5363,,,2,40610.36703,,,,1,0,,,,
3445,"Thursday, October 25, 2007",10.77317619,79.84144592,8332,40610.36703,,1,-1,,6046,,,2,40610.36703,,,,1,0,,,,
3446,"Sunday, October 28, 2007",11.375,76.7583313,8335,40610.36703,,1,-1,,6092,,,2,40610.36703,,,,1,0,,,,
3447,"Monday, December 03, 2007",12.50795937,78.22254944,8371,40610.36703,,1,-1,,6357,,,2,40610.36703,,,,1,0,,,,
3448,"Thursday, December 20, 2007",11.23409939,78.88050079,8388,40610.36703,,1,-1,,6394,,,2,40610.36703,,,,1,0,,,,
3449,"Sunday, March 23, 2008",10.38289547,78.81549835,8482,40610.36703,,1,-1,,6641,,,2,40610.36703,,,,1,0,,,,
3450,"Thursday, August 28, 2008",9.920128822,78.11087799,8640,40610.36703,,1,-1,,7321,,,2,40610.36703,,,,1,0,,,,
3451,"Sunday, September 07, 2008",12.92146969,79.13156128,8650,40610.36703,,1,-1,,7360,,,2,40610.36703,,,,1,0,,,,
3452,"Sunday, October 12, 2008",12.1257,78.15429688,8685,40610.36703,,1,-1,,7483,,,2,40610.36703,,,,1,0,,,,
3453,"Tuesday, October 21, 2008",12.22000027,79.06999969,8694,40610.36703,,1,-1,,7522,,,2,40610.36703,,,,1,0,,,,
3454,"Monday, October 27, 2008",11.94473457,79.47346497,8700,40610.36703,,1,-1,,7592,,,2,40610.36703,,,,1,0,,,,
3455,"Wednesday, November 26, 2008",11.21878529,78.16797638,8730,40610.36703,,1,-1,,7678,,,2,40610.36703,,,,1,0,,,,
3456,"Friday, September 25, 2009",12.1257,78.15429688,9033,40610.36703,,1,-1,,8277,,,2,40610.36703,,,,44,7,0.0,0.0,,5.0
3457,"Monday, November 02, 2009",11.33482647,77.72727966,9071,40610.36703,,1,-1,,8314,,,2,40610.36703,,,,1,0,,,,
3458,"Wednesday, November 18, 2009",10.95957661,78.08194733,9087,40610.36703,,1,-1,,8517,,,2,40610.36703,,,,1,0,,,,
3459,"Thursday, November 19, 2009",9.593749046,77.95749664,9088,40610.36703,,1,-1,,8535,,,2,40610.36703,,,,1,0,,,,
3460,"Monday, January 09, 2006",12.61498547,79.75827789,7678,20305.18352,,1,-1,,3934,,,1,20305.18352,,,,20,6,0.0,0.0,,58.0
3461,"Monday, January 09, 2006",10.12031937,77.54711914,7678,20305.18352,,1,-1,,3936,,,1,20305.18352,,,,21,6,0.0,0.0,,57.0
3462,"Thursday, January 12, 2006",11.03176,77.02951,7681,20305.18352,,1,-1,,3952,,,1,20305.18352,,,,1,0,,,,
3463,"Saturday, January 14, 2006",13.30560017,79.97083282,7683,20305.18352,,1,-1,,3958,,,1,20305.18352,,,,20,6,0.0,0.0,,53.0
3464,"Sunday, January 15, 2006",11.23668,78.87092,7684,20305.18352,,1,-1,,3962,,,1,20305.18352,,,,21,6,0.0,0.0,,48.0
3465,"Saturday, January 21, 2006",10.94279,77.06483,7690,20305.18352,,1,-1,,3987,,,1,20305.18352,,,,1,0,,,,
3466,"Thursday, January 26, 2006",9.539704323,78.59148407,7695,20305.18352,,1,-1,,4004,,,1,20305.18352,,,,1,0,,,,
3467,"Friday, January 27, 2006",11.31409645,78.0851059,7696,20305.18352,,1,-1,,4010,,,1,20305.18352,,,,1,0,,,,
3468,"Friday, January 27, 2006",13.17908287,79.61205292,7696,20305.18352,,1,-1,,4013,,,1,20305.18352,,,,21,7,0.0,0.0,,40.0
3469,"Saturday, January 28, 2006",11.21629,78.15446,7697,20305.18352,,1,-1,,4014,,,1,20305.18352,,,,1,0,,,,
3470,"Saturday, January 28, 2006",13.17908287,79.61205292,7697,20305.18352,,1,-1,,4020,,,1,20305.18352,,,,21,7,0.0,0.0,,39.0
3471,"Monday, January 30, 2006",10.76638,79.84952,7699,20305.18352,,1,-1,,4026,,,1,20305.18352,,,,1,0,,,,
3472,"Friday, February 03, 2006",10.76638,79.84952,7703,20305.18352,,1,-1,,4042,,,1,20305.18352,,,,1,0,,,,
3473,"Sunday, February 05, 2006",11.1633749,79.68405151,7705,20305.18352,,1,-1,,4047,,,1,20305.18352,,,,1,0,,,,
3474,"Sunday, February 05, 2006",13.40869522,80.12478638,7705,20305.18352,,1,-1,,4049,,,1,20305.18352,,,,24,10,0.0,0.0,,31.0
3475,"Monday, February 06, 2006",11.2341,78.8805,7706,20305.18352,,1,-1,,4052,,,1,20305.18352,,,,1,0,,,,
3476,"Thursday, February 09, 2006",9.767000198,78.73300171,7709,20305.18352,,1,-1,,4058,,,1,20305.18352,,,,1,0,,,,
