,State,District,Block,latLong
101, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
102, Tamil Nadu,VIRUTHUNAGAR,SIVAKASI,"[9.453042984008789, 77.79391479492188]"
103, Tamil Nadu,DINDUGAL,DINDIGUL,"[9.921903610229492, 78.12326049804688]"
104, Tamil Nadu,TIRUNELVELI,TIRUNELVELI,"[8.80447006225586, 78.14324188232422]"
105, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
106, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
107, Tamil Nadu,THENI,THENI,"[10.011940002441406, 77.47860717773438]"
108, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
109, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
110, Tamil Nadu,DINDUGAL,DINDIGUL,"[9.921903610229492, 78.12326049804688]"
111, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
112, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
113, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
114, Tamil Nadu,VILLUPPURAM,THIRUKOILUR,"[11.94474, 79.47347]"
115, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
116, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
117, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
118, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
119, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
120, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
121, Tamil Nadu,DINDUGAL,DINDIGUL,"[9.921903610229492, 78.12326049804688]"
122, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
123, Tamil Nadu,COIMBATORE,COIMBATORE SOUTH,"[10.952262878417969, 76.91082763671875]"
124, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
125, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
126, Tamil Nadu,THENI,THENI,"[10.011940002441406, 77.47860717773438]"
127, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
128, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
129, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
130, Tamil Nadu,SALEM,SALEM,"[11.65212, 78.15798]"
131, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
132, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
133, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
