,State,District,Block,latLong
2519, Tamil Nadu,THIRUVANNAMALAI,CHENGAM,"[12.30411, 78.79301]"
2525, Tamil Nadu,TIRUNELVELI,ALANGULAM,"[8.869999885559082, 77.5]"
2537, Tamil Nadu,VIRUTHUNAGAR,TIRUCHULI,"[9.533781051635742, 78.19982147216797]"
2538, Tamil Nadu,DINDUGAL,VEDASANDUR,"[10.53127, 77.94505]"
2542, Tamil Nadu,THIRUVANNAMALAI,VANDAVASI,"[12.50677, 79.60362]"
2544, Tamil Nadu,ERODE,PERUNDURAI,"[11.27761459350586, 77.58346557617188]"
2546, Tamil Nadu,PUDUKKOTTAI,MANAMELKUDI,"[10.043522834777832, 79.23023986816406]"
2547, Tamil Nadu,ERODE,KANGAYAM,"[11.01671, 77.57715]"
2548, Tamil Nadu,PUDUKKOTTAI,ALANGUDI,"[10.358290672302246, 78.97783660888672]"
2549, Tamil Nadu,PUDUKKOTTAI,KOLATHUR,"[10.3829, 78.8155]"
2551, Tamil Nadu,RAMANATHAPURAM,THIRUVADANAI,"[9.78359, 78.91909]"
2553, Tamil Nadu,CUDDALORE,VRIDHACHALAM,"[11.517144203186035, 79.32424926757812]"
2555, Tamil Nadu,NAGAPPATTINAM,KILVELUR,"[10.765632629394531, 79.73611450195312]"
2561, Tamil Nadu,PUDUKKOTTAI,GANDARVAKKOTTAI,"[10.61263, 78.95006]"
2562, Tamil Nadu,PUDUKKOTTAI,THIRUMAYAM,"[10.2459, 78.74968]"
2563, Tamil Nadu,THIRUVANNAMALAI,ARNI,"[12.66915512084961, 79.28709411621094]"
2564, Tamil Nadu,KARUR,KULITHALAI,"[10.933600425720215, 78.4209976196289]"
2566, Tamil Nadu,KARUR,KRISHNARAYAPURAM,"[10.957706451416016, 78.27510833740234]"
2567, Tamil Nadu,NAMAKKAL,TIRUCHENGODE,"[11.3788, 77.89438]"
2570, Tamil Nadu,DINDUGAL,NATHAM,"[10.34233, 77.99229]"
2573, Tamil Nadu,PERAMBALUR,ARIYALUR,"[11.24157, 78.91491]"
2578, Tamil Nadu,VELLORE,ARCOT,"[12.906916618347168, 79.32508087158203]"
2580, Tamil Nadu,THANJAVUR,THIRUVAIYARU,"[10.878975868225098, 79.10405731201172]"
2583, Tamil Nadu,NAGAPPATTINAM,SIRKALI,"[11.163249969482422, 79.75094604492188]"
2585, Tamil Nadu,VELLORE,WALAJAH,"[12.92147, 79.13156]"
2591, Tamil Nadu,VIRUTHUNAGAR,KARIAPATTI,"[9.670404434204102, 78.10088348388672]"
2594, Tamil Nadu,KRISHNAGIRI,HOSUR,"[12.72803, 77.82706]"
2596, Tamil Nadu,THOOTHUKUDI,THIRUCHENDUR,"[8.50277328491211, 78.1175308227539]"
2599, Tamil Nadu,TIRUNELVELI,SIVAGIRI,"[9.343725204467773, 77.43009948730469]"
2600, Tamil Nadu,TRICHIRAPPALLI,LALGUDI,"[10.876741409301758, 78.81826782226562]"
2602, Tamil Nadu,THOOTHUKUDI,VILATHIKULAM,"[9.13092, 78.16699]"
2606, Tamil Nadu,ERODE,GOBICHETTIPALAYAM,"[11.45478, 77.43507]"
2607, Tamil Nadu,SIVAGANGAI,SIVAGANGAI,"[9.92736, 78.15219]"
2609, Tamil Nadu,PERAMBALUR,SENDURAI,"[11.2341, 78.8805]"
2612, Tamil Nadu,TIRUNELVELI,NANGUNERI,"[8.49055004119873, 77.65863800048828]"
2617, Tamil Nadu,VILLUPPURAM,KALLAKURICHI,"[11.94474, 79.47347]"
2632, Tamil Nadu,THOOTHUKUDI,SATHANKULAM,"[8.44387, 77.9124]"
2643, Tamil Nadu,DHARMAPURI,PENNAGARAM,"[12.13172, 77.9043]"
2663, Tamil Nadu,COIMBATORE,AVINASHI,"[11.03176, 77.02951]"
2665, Tamil Nadu,PUDUKKOTTAI,ILUPPUR,"[10.514961242675781, 78.61994171142578]"
2666, Tamil Nadu,TRICHIRAPPALLI,MUSIRI,"[10.959612846374512, 78.447021484375]"
2681, Tamil Nadu,THIRUVANNAMALAI,CHEYYAR,"[12.71248, 79.53142]"
2687, Tamil Nadu,TIRUVALLUR,AMBATHUR,"[13.10791, 80.15103]"
2692, Tamil Nadu,TIRUVALLUR,GUMMIDIPOONDI,"[13.408695220947266, 80.12478637695312]"
2694, Tamil Nadu,TIRUVALLUR,UTHUKKOTTAI,"[13.3056001663208, 79.97083282470703]"
2695, Tamil Nadu,TIRUVALLUR,TIRUVALLUR,"[13.14292, 79.90753]"
2698, Tamil Nadu,TRICHIRAPPALLI,MANACHANALLUR,"[10.910724639892578, 78.6998062133789]"
2714, Tamil Nadu,NAMAKKAL,RASIPURAM,"[11.457646369934082, 78.19229125976562]"
2717, Tamil Nadu,NAGAPPATTINAM,MAYILADUTHURAI,"[11.163374900817871, 79.68405151367188]"
2720, Tamil Nadu,RAMANATHAPURAM,KAMUTHI,"[9.410504341125488, 78.36804962158203]"
2725, Tamil Nadu,ERODE,BHAVANI,"[11.446810722351074, 77.68402862548828]"
3167, Tamil Nadu,KANCHIPURAM,THIRUKAZHUKUNDRAM,"[12.60979, 80.07079]"
3168, Tamil Nadu,NAGAPPATTINAM,THARANGAMPADI,"[11.02936, 79.85133]"
3174, Tamil Nadu,SIVAGANGAI,KARAIKKUDI,"[10.06163, 78.76699]"
3183, Tamil Nadu,THANJAVUR,KUMBAKONAM,"[10.95761, 79.38094]"
3188, Tamil Nadu,COIMBATORE,UDUMALAIPETTAI,"[11.01601, 76.97031]"
3218, Tamil Nadu,VILLUPPURAM,GINGEE,"[12.25212, 79.4168]"
3219, Tamil Nadu,CUDDALORE,CHIDAMBARAM,"[11.3923, 79.703]"
3262, Tamil Nadu,TIRUVALLUR,TIRUTTANI,"[13.179082870483398, 79.61205291748047]"
3263, Tamil Nadu,TIRUVALLUR,POONAMALLEE,"[13.080194473266602, 80.05047607421875]"
4077, Tamil Nadu,TIRUVALLUR,PONNERI,"[13.332267761230469, 80.19892883300781]"
6840, Tamil Nadu,COIMBATORE,PALLADAM,"[10.66091, 77.01976]"
7483, Tamil Nadu,VILLUPPURAM,SANKARAPURAM,"[11.944734573364258, 79.47346496582031]"
8013, Tamil Nadu,THENI,PERIYAKULAM,"[10.120319366455078, 77.547119140625]"
8126, Tamil Nadu,THENI,BODI,"[9.99262, 77.44633]"
8295, Tamil Nadu,RAMANATHAPURAM,PARAMAKUDI,"[9.539704322814941, 78.59148406982422]"
8382, Tamil Nadu,RAMANATHAPURAM,MUDUKULATHUR,"[9.34453, 78.51593]"
8568, Tamil Nadu,THANJAVUR,ORATHANADU,"[10.616700172424316, 79.2667007446289]"
9608, Tamil Nadu,KANCHIPURAM,CHEYYUR,"[12.28624, 79.97428]"
9798, Tamil Nadu,KANCHIPURAM,MADHURANTHAGAM,"[12.83614, 79.70665]"
11999, Tamil Nadu,KANCHIPURAM,CHINGLEPUT,"[12.83614, 79.70665]"
13922, Tamil Nadu,KANNIYAKUMARI,KALKULAM,"[9.767000198364258, 78.73300170898438]"
14269, Tamil Nadu,KANNIYAKUMARI,THOVALAI,"[8.232240676879883, 77.50658416748047]"
16536,Uttarakhand,Uttarkashi,BHATWARI,"[30.81329917907715, 78.62000274658203]"
16540,Uttarakhand,Uttarkashi,MORI,"[31.01617431640625, 78.04767608642578]"
16542,Uttarakhand,Rudraprayag,Jakholi,"[30.28449821472168, 78.97920227050781]"
16543,Uttarakhand,Rudraprayag,,"[30.28876495361328, 78.97772216796875]"
16545,Uttarakhand,Rudraprayag,Ukhimath,"[30.526762008666992, 79.10651397705078]"
16551,Uttarakhand,Tehri Garhwal,Deoprayag,"[30.145700454711914, 78.60009765625]"
16552,Uttarakhand,Tehri Garhwal,,"[30.3754, 78.4339]"
16553,Uttarakhand,Chamoli,Tharali,"[30.078367233276367, 79.49613189697266]"
16554,Uttarakhand,Chamoli,Joshimath,"[30.554800033569336, 79.56600189208984]"
16555,Uttarakhand,Chamoli,,"[30.403600692749023, 79.33090209960938]"
16556,Uttarakhand,Chamoli,Narayan bagad,"[30.14242172241211, 79.39423370361328]"
16559,Uttarakhand,Chamoli,Karanprayag,"[30.23731, 79.27945]"
16566,Uttarakhand,Hardwar,Bhagwanpur,"[29.22459, 79.47941]"
16567,Uttarakhand,Hardwar,,"[30.06041, 78.28949]"
16568,Uttarakhand,Dehradun,Vikasnagar,"[30.466699600219727, 77.76809692382812]"
16570,Uttarakhand,Dehradun,Raipur,"[30.3060302734375, 78.09859466552734]"
16571,Uttarakhand,Nainital,,"[29.38526, 79.46836]"
16574,Uttarakhand,Pithoragarh,Pithoragarh,"[29.5837, 80.2153]"
16576,Uttarakhand,Pithoragarh,Didihat,"[29.773099899291992, 80.28620147705078]"
16577,Uttarakhand,Pithoragarh,Munsyari,"[30.068199157714844, 80.23829650878906]"
16581,Uttarakhand,Pithoragarh,Gangolihat,"[29.656200408935547, 80.04049682617188]"
16589,Uttarakhand,Pithoragarh,Berinag,"[29.773700714111328, 80.05509948730469]"
16590,Uttarakhand,Pithoragarh,Dharchula,"[29.845500946044922, 80.5353012084961]"
16600,Uttarakhand,Champawat,Champawat,"[29.335399627685547, 80.09089660644531]"
16602,Uttarakhand,Bageshwar,Kapkot,"[29.952463150024414, 79.90180969238281]"
16604,Uttarakhand,Bageshwar,Bageshwar,"[29.8383, 79.7739]"
16609,Uttarakhand,Bageshwar,Garur,"[29.901090621948242, 79.61247253417969]"
16624,Uttarakhand,Almora,Tarikhet,"[29.59235, 79.65585]"
16625,Uttarakhand,Almora,,"[29.59235, 79.65585]"
16626,Uttarakhand,Almora,Salt,"[29.59235, 79.65585]"
16628,Uttarakhand,Almora,Bhikyasain,"[29.700334548950195, 79.26535034179688]"
16629,Uttarakhand,Almora,Dhauladevi,"[29.59235, 79.65585]"
16631,Uttarakhand,Almora,Chaukhutia,"[29.781, 79.23495]"
16633,Uttarakhand,Almora,Takula,"[29.73370933532715, 79.47801208496094]"
16636,Uttarakhand,Almora,Dwarahat,"[29.774799346923828, 79.42729949951172]"
16649,Uttarakhand,Uttarkashi,,"[30.93368, 78.53588]"
16651,Uttarakhand,Uttarkashi,Dunda,"[30.707304000854492, 78.347900390625]"
16659,Uttarakhand,Uttarkashi,Chiniyalisaur,"[30.574295043945312, 78.32315826416016]"
16663,Uttarakhand,Uttarkashi,Purola,"[30.88050079345703, 78.08390045166016]"
16675,Uttarakhand,Tehri Garhwal,Narendranagar,"[30.15999984741211, 78.28510284423828]"
16676,Uttarakhand,Tehri Garhwal,Pratapnagar,"[30.454397201538086, 78.48089599609375]"
16677,Uttarakhand,Tehri Garhwal,Thaludhar,"[30.3754, 78.4339]"
16678,Uttarakhand,Tehri Garhwal,Kirtinagar,"[30.232131958007812, 78.76828002929688]"
16680,Uttarakhand,Tehri Garhwal,Bhilingana,"[30.3754, 78.4339]"
16682,Uttarakhand,Tehri Garhwal,Chamba,"[30.347999572753906, 78.39330291748047]"
16688,Uttarakhand,Chamoli,Dewal,"[30.24860191345215, 79.12833404541016]"
16690,Uttarakhand,Chamoli,Ghat,"[30.24995231628418, 79.46359252929688]"
