,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3160,111678.5093,,1,,,3,111678.5093,14,,,1,0,,,,
3161,267593.3114,,1,,,3,267593.3114,57,,,1,0,,,,
3162,424233.2985,,1,,,5,424233.2985,89,,,1,0,,,,
3163,351714.7859,,1,,,5,351714.7859,69,,,1,0,,,,
3164,102976.2878,,1,,,4,102976.2878,6,,,1,0,,,,
3165,129082.9524,,1,,,6,129082.9524,2,,,1,0,,,,
3166,116029.6201,,1,,,5,116029.6201,4,,,1,0,,,,
3167,209578.5013,,1,,,8,209578.5013,13,,,1,0,,,,
3168,121105.916,,1,,,4,121105.916,11,,,1,0,,,,
3169,99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
3170,356065.8967,,1,,,12,356065.8967,31,,,1,0,,,,
3171,137059.9887,,1,,,3,137059.9887,21,,,1,0,,,,
3172,519957.7351,,1,,,19,519957.7351,37,,,1,0,,,,
3173,631636.2444,,1,,,27,631636.2444,23,,,1,0,,,,
3174,86297.02995,,1,,,3,86297.02995,7,,,1,0,,,,
3175,233509.6104,,1,,,4,233509.6104,42,,,1,0,,,,
3176,6808037.959,,1,,,306,6808037.959,164,,,68,12,0,0,,3
3177,419882.1877,,1,,,8,419882.1877,71,,,1,0,,,,
3178,44236.29266,,1,,,2,44236.29266,1,,,27,10,0,0,,0
3179,44236.29266,,1,,,2,44236.29266,1,,,39,19,0,0,,9
3180,44236.29266,,1,,,2,44236.29266,1,,,50,26,0,0,,11
3181,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3182,247288.1278,,1,,,2,247288.1278,57,,,1,0,,,,
3183,91373.32583,,1,,,2,91373.32583,14,,,1,0,,,,
3184,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3185,58739.99518,,1,,,2,58739.99518,5,,,1,0,,,,
3186,84121.47457,,1,,,2,84121.47457,12,,,1,0,,,,
3187,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3188,47862.21829,,1,,,2,47862.21829,2,,,1,0,,,,
3189,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3190,69617.77206,,1,,,2,69617.77206,8,,,1,0,,,,
3191,73243.69769,,1,,,2,73243.69769,9,,,1,0,,,,
3192,44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
3193,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3194,153014.0615,,1,,,2,153014.0615,31,,,1,0,,,,
3195,44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
3196,80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
