economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
367668.8587,,1,,,9,367668.8587,51,,,1,0,,,,
161716.283,,1,,,6,161716.283,11,,,1,0,,,,
1110258.427,,1,,,47,1110258.427,43,,,1,0,,,,
642514.0213,,1,,,17,642514.0213,82,,,1,0,,,,
1871702.809,,1,,,82,1871702.809,57,,,1,0,,,,
226982.9443,,1,,,11,226982.9443,1,,,1,0,,,,
116029.6201,,1,,,5,116029.6201,4,,,1,0,,,,
431485.1497,,1,,,5,431485.1497,91,,,1,0,,,,
738963.643,,1,,,23,738963.643,75,,,1,0,,,,
213204.4269,,1,,,8,213204.4269,14,,,1,0,,,,
532285.8822,,1,,,23,532285.8822,18,,,1,0,,,,
1025411.768,,1,,,28,1025411.768,126,,,1,0,,,,
1025411.768,,1,,,28,1025411.768,126,,,1,0,,,,
1498232.47,,1,,,62,1498232.47,66,,,1,0,,,,
265417.756,,1,,,7,265417.756,34,,,1,0,,,,
342287.3793,,1,,,4,342287.3793,72,,,1,0,,,,
308928.8635,,1,,,12,308928.8635,18,,,1,0,,,,
1735368.006,,1,,,46,1735368.006,221,,,1,0,,,,
312983373.6,,1,,,13402,312983373.6,11267,,,1,0,,,,
340837.009,,1,,,10,340837.009,38,,,1,0,,,,
383622.9315,,1,,,8,383622.9315,61,,,1,0,,,,
986251.7708,,1,,,35,986251.7708,76,,,75,17,0,0,,1
100800.7325,,1,,,3,100800.7325,11,,,1,0,,,,
424233.2985,,1,,,15,424233.2985,33,,,1,0,,,,
383622.9315,,1,,,8,383622.9315,61,,,1,0,,,,
226982.9443,,1,,,11,226982.9443,1,,,1,0,,,,
394500.7083,,1,,,18,394500.7083,8,,,1,0,,,,
344462.9347,,1,,,5,344462.9347,67,,,1,0,,,,
751291.7901,,1,,,22,751291.7901,84,,,1,0,,,,
8473063.008,,1,,,353,8473063.008,360,,,1,0,,,,
717208.0892,,1,,,8,717208.0892,153,,,1,0,,,,
211754.0567,,1,,,9,211754.0567,8,,,1,0,,,,
160265.9128,,1,,,7,160265.9128,5,,,1,0,,,,
315455.5296,,1,,,10,315455.5296,31,,,1,0,,,,
160265.9128,,1,,,7,160265.9128,5,,,1,0,,,,
461217.7399,,1,,,12,461217.7399,60,,,1,0,,,,
99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
4767367.016,,1,,,113,4767367.016,682,,,1,0,,,,
96459774.3,,1,,,3673,96459774.3,6034,,,1,0,,,,
82671.10432,,1,,,3,82671.10432,6,,,1,0,,,,
75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
95724.43658,,1,,,4,95724.43658,4,,,1,0,,,,
75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
123281.4714,,1,,,5,123281.4714,6,,,1,0,,,,
75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
64541.47618,,1,,,3,64541.47618,1,,,1,0,,,,
677322.9073,,1,,,28,677322.9073,30,,,1,0,,,,
682399.2032,,1,,,32,682399.2032,9,,,1,0,,,,
64541.47618,,1,,,3,64541.47618,1,,,1,0,,,,
