economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,39,19,0,0,,55
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,43,23,0,0,,43
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,49,25,0,0,,24
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,51,22,0,0,,3
,,1,1,,,,,,,51,22,0,0,,3
,,1,1,,,,,,,50,19,0,0,,6
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
